Key,Value
ma_terminal_backup_cmd_desc,"Erstellt ein Backup der aktuellen Mod-Abonnements, Reihenfolge und Aktivierungszustände"
ma_terminal_backup_cmd_name_arg_desc,"Name dieses Backups"
ma_terminal_backup_completed_log,"Backup abgeschlossen. Snapshot gespeichert unter: {0}"
ma_terminal_backup_failed_log,"Backup fehlgeschlagen: {0}"
ma_terminal_backup_name_required_error,"Ein Backup-Name ist erforderlich."
ma_terminal_desc,"Mod Ark – Sicherung und Wiederherstellung deiner Mod-Konfiguration"
ma_terminal_restore_cmd_desc,"Stellt Mod-Abonnements, Reihenfolge und Aktivierungszustände aus einer Backup-JSON-Datei wieder her"
ma_terminal_restore_completed_log,"Wiederherstellung abgeschlossen. Verarbeitete Abonnements: {0}"
ma_terminal_restore_failed_log,"Wiederherstellung fehlgeschlagen: {0}"
ma_terminal_restore_folder_countdown_log,"Der Restore-Ordner öffnet sich in 5 Sekunden. Kopiere danach sofort die Backup-JSON hinein."
ma_terminal_restore_invalid_file_error,"Die Backup-Datei ist leer oder ungültig."
ma_terminal_restore_missing_fields_error,"In der Backup-Datei fehlen erforderliche Felder."
ma_terminal_restore_need_yes_error,"Die Wiederherstellung würde die aktuelle Konfiguration überschreiben. Starte mit --yes erneut. Es wurden keine Änderungen vorgenommen."
ma_terminal_restore_read_file_error,"Backup-Datei konnte nicht gelesen oder deserialisiert werden."
ma_terminal_restore_shutdown_warning_log,"Wiederherstellung abgeschlossen. Das Spiel schließt sich in 10 Sekunden automatisch; du kannst es auch vorher manuell schließen."
ma_terminal_restore_steam_not_initialized_error,"Steam ist nicht initialisiert, Abonnements können nicht wiederhergestellt werden."
ma_terminal_restore_subscribe_success_log,"Abonniert: {0} ({1})."
ma_terminal_restore_timeout_error,"Innerhalb von 60 Sekunden wurde keine Backup-Datei im Restore-Ordner gefunden."
ma_terminal_restore_unsubscribe_success_log,"Abmeldung für Workshop-Eintrag {0} abgeschlossen."
ma_terminal_restore_yes_opt_desc,"Beim Wiederherstellen Überschreiben der aktuellen Konfiguration erlauben"
