Key,Value
ma_terminal_backup_cmd_desc,"Create a backup of current mod subscriptions, order and enable states"
ma_terminal_backup_cmd_name_arg_desc,"Name of this backup"
ma_terminal_backup_completed_log,"Backup completed. Snapshot saved to: {0}"
ma_terminal_backup_failed_log,"Backup failed: {0}"
ma_terminal_backup_name_required_error,"Backup name is required."
ma_terminal_desc,"Mod Ark - Backup and restore your mod configuration"
ma_terminal_restore_cmd_desc,"Restore mod subscriptions, order and enable states from a backup JSON file"
ma_terminal_restore_completed_log,"Restore completed. Subscriptions processed: {0}"
ma_terminal_restore_failed_log,"Restore failed: {0}"
ma_terminal_restore_folder_countdown_log,"Opening the restore folder in 5 seconds. Please place the backup JSON inside once it appears."
ma_terminal_restore_invalid_file_error,"Backup file is empty or invalid."
ma_terminal_restore_missing_fields_error,"Backup file is missing required fields."
ma_terminal_restore_need_yes_error,"Restore would overwrite current configuration. Re-run with --yes to proceed. No changes were made."
ma_terminal_restore_read_file_error,"Failed to read or deserialize backup file."
ma_terminal_restore_shutdown_warning_log,"Restore finished. The game will close automatically in 10 seconds; you may close it manually sooner if you prefer."
ma_terminal_restore_subscribe_success_log,"Subscribed to {0} ({1})."
ma_terminal_restore_unsubscribe_success_log,"Unsubscribed workshop item {0}."
ma_terminal_restore_steam_not_initialized_error,"Steam is not initialized, cannot restore subscriptions."
ma_terminal_restore_subscribe_success_log,""
ma_terminal_restore_timeout_error,"No backup file found in restore folder within 60 seconds."
ma_terminal_restore_unsubscribe_success_log,""
ma_terminal_restore_yes_opt_desc,"Allow overwriting current configuration when restoring"
