Key,Value
ma_terminal_backup_cmd_desc,"Crea una copia de seguridad de las suscripciones, el orden y los estados de activación actuales de los mods"
ma_terminal_backup_cmd_name_arg_desc,"Nombre de esta copia de seguridad"
ma_terminal_backup_completed_log,"Copia de seguridad completada. Instantánea guardada en: {0}"
ma_terminal_backup_failed_log,"Error en la copia de seguridad: {0}"
ma_terminal_backup_name_required_error,"Se requiere un nombre para la copia de seguridad."
ma_terminal_desc,"Mod Ark - Respaldar y restaurar tu configuración de mods"
ma_terminal_restore_cmd_desc,"Restaura suscripciones, orden y estados de activación desde un archivo JSON de respaldo"
ma_terminal_restore_completed_log,"Restauración completada. Suscripciones procesadas: {0}"
ma_terminal_restore_failed_log,"Error en la restauración: {0}"
ma_terminal_restore_folder_countdown_log,"La carpeta de restauración se abrirá en 5 segundos. Copia el archivo JSON de respaldo en cuanto aparezca."
ma_terminal_restore_invalid_file_error,"El archivo de respaldo está vacío o es inválido."
ma_terminal_restore_missing_fields_error,"Al archivo de respaldo le faltan campos obligatorios."
ma_terminal_restore_need_yes_error,"La restauración sobrescribirá la configuración actual. Ejecútalo de nuevo con --yes para continuar. No se realizaron cambios."
ma_terminal_restore_read_file_error,"No se pudo leer o deserializar el archivo de respaldo."
ma_terminal_restore_shutdown_warning_log,"Restauración finalizada. El juego se cerrará automáticamente en 10 segundos; también puedes cerrarlo manualmente cuando quieras."
ma_terminal_restore_steam_not_initialized_error,"Steam no está inicializado, no se pueden restaurar las suscripciones."
ma_terminal_restore_subscribe_success_log,"Se suscribió a {0} ({1})."
ma_terminal_restore_timeout_error,"No se encontró un archivo de respaldo en la carpeta de restauración dentro de 60 segundos."
ma_terminal_restore_unsubscribe_success_log,"Se canceló la suscripción al elemento {0}."
ma_terminal_restore_yes_opt_desc,"Permitir sobrescribir la configuración actual al restaurar"
