Key,Value
ma_terminal_backup_cmd_desc,"Créer une sauvegarde des abonnements de mods, de l'ordre et des états d'activation actuels"
ma_terminal_backup_cmd_name_arg_desc,"Nom de cette sauvegarde"
ma_terminal_backup_completed_log,"Sauvegarde terminée. Instantané enregistré dans : {0}"
ma_terminal_backup_failed_log,"Échec de la sauvegarde : {0}"
ma_terminal_backup_name_required_error,"Un nom de sauvegarde est requis."
ma_terminal_desc,"Mod Ark - Sauvegardez et restaurez votre configuration de mods"
ma_terminal_restore_cmd_desc,"Restaurer les abonnements, l'ordre et les états d'activation depuis un fichier JSON de sauvegarde"
ma_terminal_restore_completed_log,"Restauration terminée. Abonnements traités : {0}"
ma_terminal_restore_failed_log,"Échec de la restauration : {0}"
ma_terminal_restore_folder_countdown_log,"Le dossier de restauration s'ouvrira dans 5 secondes. Copiez-y le fichier JSON de sauvegarde dès qu'il apparaît."
ma_terminal_restore_invalid_file_error,"Le fichier de sauvegarde est vide ou invalide."
ma_terminal_restore_missing_fields_error,"Le fichier de sauvegarde ne contient pas les champs requis."
ma_terminal_restore_need_yes_error,"La restauration écrasera la configuration actuelle. Relancez avec --yes pour continuer. Aucun changement n'a été effectué."
ma_terminal_restore_read_file_error,"Impossible de lire ou de désérialiser le fichier de sauvegarde."
ma_terminal_restore_shutdown_warning_log,"Restauration terminée. Le jeu se fermera automatiquement dans 10 secondes, mais vous pouvez le fermer manuellement si vous le souhaitez."
ma_terminal_restore_steam_not_initialized_error,"Steam n'est pas initialisé, impossible de restaurer les abonnements."
ma_terminal_restore_subscribe_success_log,"Abonnement ajouté à {0} ({1})."
ma_terminal_restore_timeout_error,"Aucun fichier de sauvegarde trouvé dans le dossier de restauration sous 60 secondes."
ma_terminal_restore_unsubscribe_success_log,"Désabonnement de l'élément {0} effectué."
ma_terminal_restore_yes_opt_desc,"Autoriser l'écrasement de la configuration actuelle lors de la restauration"
