Key,Value
ma_terminal_backup_cmd_desc,"現在のMOD購読、並び順、有効状態をバックアップします"
ma_terminal_backup_cmd_name_arg_desc,"このバックアップの名前"
ma_terminal_backup_completed_log,"バックアップ完了。スナップショットを保存しました: {0}"
ma_terminal_backup_failed_log,"バックアップに失敗しました: {0}"
ma_terminal_backup_name_required_error,"バックアップ名は必須です。"
ma_terminal_desc,"Mod Ark - MOD構成をバックアップ＆復元"
ma_terminal_restore_cmd_desc,"バックアップJSONファイルからMODの購読・並び順・有効状態を復元します"
ma_terminal_restore_completed_log,"復元完了。処理した購読数: {0}"
ma_terminal_restore_failed_log,"復元に失敗しました: {0}"
ma_terminal_restore_folder_countdown_log,"5秒後に復元フォルダーを開きます。開いたらすぐにバックアップJSONをコピーしてください。"
ma_terminal_restore_invalid_file_error,"バックアップファイルが空、または無効です。"
ma_terminal_restore_missing_fields_error,"バックアップファイルに必要なフィールドがありません。"
ma_terminal_restore_need_yes_error,"復元は現在の構成を上書きします。続行するには --yes を付けて再実行してください。変更は行われませんでした。"
ma_terminal_restore_read_file_error,"バックアップファイルの読み取りまたは逆シリアル化に失敗しました。"
ma_terminal_restore_shutdown_warning_log,"復元が完了しました。10秒後にゲームが自動的に終了しますが、必要なら手動で先に終了してもかまいません。"
ma_terminal_restore_steam_not_initialized_error,"Steam が初期化されていないため、購読を復元できません。"
ma_terminal_restore_subscribe_success_log,"{0} ({1}) を購読しました。"
ma_terminal_restore_timeout_error,"60秒以内に復元フォルダーでバックアップファイルが見つかりませんでした。"
ma_terminal_restore_unsubscribe_success_log,"ワークショップ項目 {0} の購読を解除しました。"
ma_terminal_restore_yes_opt_desc,"復元時に現在の構成を上書きすることを許可"
