Key,Value
ma_terminal_backup_cmd_desc,"현재 모드 구독, 정렬 순서, 활성 상태를 백업합니다"
ma_terminal_backup_cmd_name_arg_desc,"이 백업의 이름"
ma_terminal_backup_completed_log,"백업이 완료되었습니다. 스냅샷 저장 위치: {0}"
ma_terminal_backup_failed_log,"백업 실패: {0}"
ma_terminal_backup_name_required_error,"백업 이름은 필수입니다."
ma_terminal_desc,"Mod Ark - 모드 구성 백업 및 복원"
ma_terminal_restore_cmd_desc,"백업 JSON 파일에서 모드 구독, 순서, 활성 상태를 복원합니다"
ma_terminal_restore_completed_log,"복원이 완료되었습니다. 처리된 구독 수: {0}"
ma_terminal_restore_failed_log,"복원 실패: {0}"
ma_terminal_restore_folder_countdown_log,"5초 후 복원 폴더가 열립니다. 열리면 즉시 백업 JSON을 복사해 주세요."
ma_terminal_restore_invalid_file_error,"백업 파일이 비어 있거나 잘못되었습니다."
ma_terminal_restore_missing_fields_error,"백업 파일에 필요한 필드가 없습니다."
ma_terminal_restore_need_yes_error,"복원 시 현재 구성을 덮어씁니다. 계속하려면 --yes 옵션으로 다시 실행하세요. 어떤 변경도 이루어지지 않았습니다."
ma_terminal_restore_read_file_error,"백업 파일을 읽거나 역직렬화하지 못했습니다."
ma_terminal_restore_shutdown_warning_log,"복원이 완료되었습니다. 10초 후 게임이 자동으로 종료되며, 원하면 수동으로 먼저 종료해도 됩니다."
ma_terminal_restore_steam_not_initialized_error,"Steam이 초기화되지 않아 구독을 복원할 수 없습니다."
ma_terminal_restore_subscribe_success_log,"{0} ({1}) 구독을 완료했습니다."
ma_terminal_restore_timeout_error,"60초 이내에 복원 폴더에서 백업 파일을 찾을 수 없습니다."
ma_terminal_restore_unsubscribe_success_log,"워크숍 항목 {0} 구독을 취소했습니다."
ma_terminal_restore_yes_opt_desc,"복원 시 현재 구성을 덮어쓰도록 허용"
