Key,Value
ma_terminal_backup_cmd_desc,"建立目前模組訂閱、排序與啟用狀態的備份"
ma_terminal_backup_cmd_name_arg_desc,"本次備份的名稱"
ma_terminal_backup_completed_log,"備份完成，快照已儲存於：{0}"
ma_terminal_backup_failed_log,"備份失敗：{0}"
ma_terminal_backup_name_required_error,"必須提供備份名稱。"
ma_terminal_desc,"Mod Ark - 模組配置備份與還原工具"
ma_terminal_restore_cmd_desc,"從備份 JSON 檔案還原模組訂閱、排序與啟用狀態"
ma_terminal_restore_completed_log,"還原完成。已處理訂閱數：{0}"
ma_terminal_restore_failed_log,"還原失敗：{0}"
ma_terminal_restore_folder_countdown_log,"5 秒後將自動開啟還原資料夾，請在開啟後立即把備份 JSON 複製進去。"
ma_terminal_restore_invalid_file_error,"備份檔案為空或格式無效。"
ma_terminal_restore_missing_fields_error,"備份檔案缺少必要欄位。"
ma_terminal_restore_need_yes_error,"還原將覆寫目前配置。請使用 --yes 再次執行。未做任何變更。"
ma_terminal_restore_read_file_error,"讀取或反序列化備份檔案失敗。"
ma_terminal_restore_shutdown_warning_log,"還原完成。10 秒後將自動關閉遊戲，您也可以提前手動關閉。"
ma_terminal_restore_steam_not_initialized_error,"Steam 未初始化，無法還原訂閱。"
ma_terminal_restore_subscribe_success_log,"已訂閱 {0} ({1})。"
ma_terminal_restore_timeout_error,"60 秒內未在還原資料夾中找到備份檔案。"
ma_terminal_restore_unsubscribe_success_log,"已取消訂閱 {0}。"
ma_terminal_restore_yes_opt_desc,"還原時允許覆寫目前配置"
