Key,Value
ma_terminal_backup_cmd_desc,"备份当前所有模组的订阅、排序和启用状态"
ma_terminal_backup_cmd_name_arg_desc,"本次备份的名称"
ma_terminal_backup_completed_log,"备份完成，文件已保存到：{0}"
ma_terminal_backup_failed_log,"备份失败：{0}"
ma_terminal_backup_name_required_error,"必须提供备份名称。"
ma_terminal_desc,"Mod Ark - 模组配置备份与还原工具"
ma_terminal_restore_cmd_desc,"从备份 JSON 文件还原模组订阅、排序和启用状态"
ma_terminal_restore_completed_log,"还原完成。已处理订阅条目数：{0}"
ma_terminal_restore_failed_log,"还原失败：{0}"
ma_terminal_restore_folder_countdown_log,"5 秒后将自动打开还原文件夹，请在打开后立即把备份 JSON 复制进去。"
ma_terminal_restore_invalid_file_error,"备份文件为空或格式无效。"
ma_terminal_restore_missing_fields_error,"备份文件缺少必需字段。"
ma_terminal_restore_need_yes_error,"本次还原将覆盖当前配置，请使用 restore --yes 再次执行。未进行任何修改。"
ma_terminal_restore_read_file_error,"读取或解析备份文件失败。"
ma_terminal_restore_shutdown_warning_log,"还原完成。10 秒后将自动关闭游戏，您也可以提前手动关闭。"
ma_terminal_restore_steam_not_initialized_error,"Steam 未初始化，无法执行订阅还原。"
ma_terminal_restore_subscribe_success_log,"已订阅 {0} ({1})。"
ma_terminal_restore_timeout_error,"在 60 秒内未在还原目录中发现备份文件。"
ma_terminal_restore_unsubscribe_success_log,"已取消订阅 {0}。"
ma_terminal_restore_yes_opt_desc,"允许在还原时覆盖当前配置"
